Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
61,Benny Snell Jr. (FA),111,368,3.3,30,3,4,10,14,61,6.1,0,1,16,69.9,4.4,0.0%
62,Joshua Kelley (FA),111,354,3.2,33,3,2,23,23,148,6.4,0,2,14,69.7,5.0,0.0%
63,Le'Veon Bell (FA),82,328,4.0,16,0,2,16,20,138,8.6,0,0,11,66.6,6.1,0.2%
64,Salvon Ahmed (IND),75,319,4.3,31,1,3,11,14,61,5.5,0,0,6,63.5,10.6,0.0%
65,Phillip Lindsay (FA),118,502,4.3,55,6,1,7,14,28,4.0,0,0,11,62.5,5.7,0.0%
66,Kerryon Johnson (FA),52,181,3.5,14,0,2,19,26,187,9.8,1,1,16,62.3,3.9,1.0%
67,Samaje Perine (CIN),63,301,4.8,46,1,3,11,12,66,6.0,0,0,16,60.2,3.8,3.6%
68,Justin Jackson (FA),59,270,4.6,36,3,0,19,24,173,9.1,0,0,9,55.8,6.2,0.0%
69,Ty Johnson (BUF),54,254,4.7,34,1,1,16,21,99,6.2,1,0,13,55.3,4.3,3.5%
70,Jordan Wilkins (FA),84,308,3.7,22,1,1,12,16,105,8.8,0,0,15,55.3,3.7,0.0%
71,Peyton Barber (FA),94,258,2.7,15,0,4,4,7,12,3.0,0,0,16,53.0,3.3,1.0%
72,Mark Ingram II (FA),72,299,4.2,30,2,2,6,8,50,8.3,0,0,11,49.9,4.5,0.6%
73,Ito Smith (FA),63,268,4.3,24,1,1,17,26,75,4.4,0,0,14,48.8,3.5,1.0%
74,DeeJay Dallas (ARI),34,108,3.2,13,0,2,17,20,111,6.5,1,0,12,48.4,4.0,0.1%
75,Dion Lewis (FA),29,115,4.0,19,0,2,19,30,127,6.7,1,2,16,47.7,3.0,2.0%
76,La'Mical Perine (FA),64,232,3.6,20,1,2,11,15,63,5.7,0,0,10,47.0,4.7,0.0%
77,Darrel Williams (FA),39,169,4.3,13,0,1,18,26,116,6.4,0,0,16,45.5,2.8,0.0%
78,Jalen Richard (FA),22,123,5.6,20,1,1,19,23,138,7.3,0,0,13,41.6,3.2,1.0%
79,A.J. Dillon (PHI),46,242,5.3,30,2,2,2,2,21,10.5,0,0,11,39.3,3.6,5.6%
80,Alfred Morris (FA),55,238,4.3,20,1,1,3,4,19,6.3,1,0,9,39.2,4.4,0.0%
81,Jeremy McNichols (WAS),47,204,4.3,20,1,1,12,17,55,4.6,0,0,16,37.9,2.4,0.7%
82,Matt Breida (FA),59,254,4.3,24,1,0,9,10,96,10.7,0,1,12,37.5,3.1,0.0%
83,Josh Adams (FA),29,157,5.4,25,1,2,6,8,29,4.8,0,0,8,33.6,4.2,0.0%
84,Chris Thompson (FA),7,20,2.9,5,0,0,20,23,146,7.3,1,0,8,32.6,4.1,0.0%
85,Devonta Freeman (FA),54,172,3.2,14,0,1,7,10,58,8.3,0,0,5,32.5,6.5,0.0%
86,Rodney Smith (FA),41,156,3.8,13,0,1,9,11,59,6.6,0,0,7,32.0,4.6,0.0%
87,Royce Freeman (FA),35,170,4.9,23,2,0,12,13,81,6.8,0,0,16,31.1,1.9,0.0%
88,Jordan Howard (FA),35,60,1.7,11,0,4,1,1,-3,-3.0,0,0,7,30.2,4.3,0.0%
89,Darwin Thompson (FA),27,97,3.6,14,0,1,7,11,65,9.3,1,1,13,29.7,2.3,0.0%
90,Travis Homer (CHI),25,88,3.5,12,0,0,9,10,90,10.0,1,0,9,28.3,3.1,0.6%
91,JaMycal Hasty (NE),39,148,3.8,20,1,1,7,8,33,4.7,0,0,8,27.6,3.5,1.1%
92,Ameer Abdullah (SF),8,42,5.3,13,0,0,8,9,58,7.3,2,0,16,26.0,1.6,0.6%
93,Dare Ogunbowale (HOU),32,145,4.5,25,1,0,10,20,54,5.4,0,0,14,24.9,1.8,1.5%
94,Alec Ingold (MIA),3,4,1.3,3,0,0,12,17,110,9.2,1,0,16,23.4,1.5,0.6%
95,C.J. Ham (MIN),5,18,3.6,10,0,0,8,14,97,12.1,1,0,15,21.5,1.4,0.6%
96,Ke'Shawn Vaughn (FA),26,109,4.2,19,0,0,5,10,34,6.8,1,1,10,20.8,2.1,0.0%
97,Antonio Williams (FA),12,63,5.3,18,0,2,1,1,20,20.0,0,0,1,20.8,20.8,0.0%
98,LeSean McCoy (FA),10,31,3.1,14,0,0,15,19,101,6.7,0,0,10,20.7,2.1,2.0%
99,Tyler Ervin (FA),13,67,5.2,21,1,0,11,15,84,7.6,0,0,8,20.6,2.6,0.0%
100,Alex Collins (FA),18,77,4.3,13,0,2,1,2,4,4.0,0,0,3,20.6,6.9,19.0%
101,Anthony McFarland Jr. (FA),33,113,3.4,20,1,0,6,10,54,9.0,0,0,11,19.7,1.8,1.1%
102,D'Ernest Johnson (BAL),33,166,5.0,28,3,0,3,4,14,4.7,0,0,16,19.5,1.2,1.0%
103,Trayveon Williams (CLE),26,157,6.0,55,1,0,5,5,30,6.0,0,1,10,19.2,1.9,0.0%
104,Corey Clement (FA),21,75,3.6,7,0,1,5,6,25,5.0,0,0,15,18.5,1.2,0.0%
105,Gabe Nabers (FA),2,7,3.5,4,0,0,5,7,25,5.0,2,0,16,17.7,1.1,0.6%
106,Patrick Laird (FA),13,72,5.5,17,0,0,10,12,68,6.8,0,1,16,17.0,1.1,0.0%
107,Ryan Nall (FA),3,0,0.0,0,0,0,8,9,67,8.4,1,0,15,16.7,1.1,0.0%
108,D'Onta Foreman (FA),22,95,4.3,15,0,0,1,1,5,5.0,1,0,6,16.5,2.8,2.7%
109,Troymaine Pope (FA),15,76,5.1,26,1,0,8,10,42,5.3,0,0,6,15.8,2.6,0.0%
110,Reggie Bonnafon (FA),12,69,5.8,22,1,0,2,2,18,9.0,1,0,2,15.7,7.9,0.0%
111,T.J. Yeldon (FA),10,70,7.0,34,1,0,1,4,22,22.0,1,0,3,15.7,5.2,0.0%
112,Darrynton Evans (BUF),14,54,3.9,9,0,0,2,4,27,13.5,1,0,5,15.1,3.0,0.0%
113,DeAndre Washington (FA),31,91,2.9,16,0,0,5,10,30,6.0,0,0,4,14.6,3.7,11.0%
114,Tarik Cohen (FA),14,74,5.3,17,0,0,6,9,41,6.8,0,0,3,14.5,4.8,0.0%
115,Ty Montgomery II (FA),19,101,5.3,36,1,0,3,6,27,9.0,0,0,6,14.3,2.4,0.0%
116,Mike Boone (FA),11,59,5.4,19,0,1,2,2,10,5.0,0,0,16,13.9,0.9,1.0%
117,Jakob Johnson (HOU),0,0,0.0,0,0,0,8,9,35,4.4,1,0,16,13.5,0.8,0.0%
118,Patrick Ricard (BAL),1,-1,-1.0,0,0,0,9,12,45,5.0,1,1,15,12.9,0.9,0.8%
119,Saquon Barkley (PHI),19,34,1.8,18,0,0,6,9,60,10.0,0,0,2,12.4,6.2,99.0%
120,Keith Smith (FA),4,7,1.8,3,0,0,11,15,59,5.4,0,0,16,12.1,0.8,0.0%
121,Jaylen Samuels (FA),9,28,3.1,6,0,0,9,14,46,5.1,0,0,14,11.9,0.9,0.0%
122,J.J. Taylor (HOU),23,110,4.8,28,1,0,1,2,4,4.0,0,0,6,11.9,2.0,1.0%
123,Tevin Coleman (FA),28,53,1.9,12,0,0,4,5,34,8.5,0,0,8,10.7,1.3,0.0%
124,Justice Hill (BAL),12,60,5.0,19,0,0,5,5,20,4.0,0,0,12,10.5,0.9,20.8%
125,C.J. Prosise (FA),10,19,1.9,7,0,0,5,5,18,3.6,1,1,10,10.2,1.0,0.0%
126,Artavis Pierce (FA),6,34,5.7,23,1,1,0,0,0,0.0,0,0,5,9.4,1.9,0.0%
127,Devine Ozigbo (FA),1,1,1.0,1,0,0,9,9,42,4.7,0,0,8,8.8,1.1,1.0%
128,Reggie Gilliam (BUF),0,0,0.0,0,0,0,2,2,16,8.0,1,0,14,8.6,0.6,0.0%
129,Theo Riddick (FA),6,14,2.3,11,0,0,5,6,43,8.6,0,0,5,8.2,1.6,0.0%
130,Anthony Sherman (FA),3,8,2.7,6,0,0,1,2,5,5.0,1,0,12,7.8,0.7,1.2%
131,Jonathan Ward (NYG),0,0,0.0,0,0,0,1,1,11,11.0,1,0,14,7.6,0.5,0.0%
132,Buddy Howell (FA),16,64,4.0,9,0,0,1,2,3,3.0,0,0,14,7.2,0.5,0.0%
133,Marlon Mack (FA),4,26,6.5,18,0,0,3,3,30,10.0,0,0,1,7.1,7.1,0.0%
134,Michael Burton (DEN),7,18,2.6,7,0,0,4,4,28,7.0,0,0,15,6.6,0.4,0.1%
135,Trenton Cannon (FA),10,33,3.3,13,0,0,3,3,16,5.3,0,0,14,6.4,0.5,0.0%
136,Khari Blasingame (FA),0,0,0.0,0,0,0,4,5,39,9.8,0,0,15,5.9,0.4,0.0%
137,Dontrell Hilliard (FA),9,48,5.3,19,0,0,1,1,2,2.0,0,0,7,5.5,0.8,0.0%
138,Alex Armah Jr. (FA),6,9,1.5,3,0,0,5,9,18,3.6,0,0,16,5.2,0.3,0.0%
139,Elijhaa Penny (FA),6,15,2.5,5,0,0,2,3,20,10.0,0,0,14,4.5,0.3,0.0%
140,Austin Walter (FA),1,3,3.0,3,0,0,1,1,27,27.0,0,0,4,3.5,0.9,0.0%
141,Rashaad Penny (FA),11,34,3.1,7,0,0,0,0,0,0.0,0,0,3,3.4,1.1,0.0%
142,Bo Scarbrough (FA),6,31,5.2,12,0,0,0,0,0,0.0,0,0,1,3.1,3.1,0.0%
143,Andy Janovich (FA),2,4,2.0,2,0,0,2,5,13,6.5,0,0,14,2.7,0.2,0.0%
144,Jonathan Williams (FA),1,5,5.0,5,0,0,4,4,21,5.3,0,1,5,2.6,0.5,0.0%
145,Jason Huntley (FA),5,19,3.8,10,0,0,1,2,0,0.0,0,0,5,2.4,0.5,0.0%
146,Rico Dowdle (CAR),7,24,3.4,7,0,0,0,0,0,0.0,0,0,15,2.4,0.2,35.2%
147,Scottie Phillips (FA),2,9,4.5,5,0,0,1,1,7,7.0,0,0,8,2.1,0.3,0.0%
148,LeVante Bellamy (FA),4,11,2.8,8,0,0,1,1,5,5.0,0,0,5,2.1,0.4,0.0%
149,Chandler Cox (FA),0,0,0.0,0,0,0,2,2,9,4.5,0,0,8,1.9,0.2,0.0%
150,Lamar Miller (FA),0,0,0.0,0,0,0,2,2,6,3.0,0,0,1,1.6,1.6,0.0%
151,Dwayne Washington (FA),8,15,1.9,5,0,0,0,0,0,0.0,0,0,11,1.5,0.1,0.0%
152,D.J. Foster (FA),2,2,1.0,2,0,0,1,1,7,7.0,0,0,10,1.4,0.1,0.0%
153,Tony Jones Jr. (FA),3,13,4.3,6,0,0,0,0,0,0.0,0,0,1,1.3,1.3,0.0%
154,Craig Reynolds (DET),1,4,4.0,4,0,0,1,1,3,3.0,0,0,2,1.2,0.6,1.1%
155,Cullen Gillaspia (FA),0,0,0.0,0,0,0,1,1,6,6.0,0,0,7,1.1,0.2,0.0%
156,Senorise Perry (FA),2,9,4.5,6,0,0,0,0,0,0.0,0,0,7,0.9,0.1,0.0%
157,Dexter Williams (FA),2,8,4.0,5,0,0,0,0,0,0.0,0,0,3,0.8,0.3,0.0%
158,Tony Brooks-James (FA),3,4,1.3,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%
159,Qadree Ollison (FA),1,3,3.0,3,0,0,0,0,0,0.0,0,0,3,0.3,0.1,0.0%
160,Kirk Merritt (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
161,Sewo Olonilua (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
162,Raymond Calais (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0%
163,Jake Bargas (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
164,Nathan Cottrell (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,8,0.0,0.0,0.0%
165,Bruce Miller (FA),0,0,0.0,0,0,0,1,2,2,2.0,0,0,8,0.0,0.0,1.0%
166,Taiwan Jones (FA),0,0,0.0,0,0,0,0,2,0,0.0,0,0,13,0.0,0.0,1.0%
167,Kenjon Barner (FA),0,0,0.0,0,0,0,0,1,0,0.0,0,0,6,0.0,0.0,0.0%
168,Cordarrelle Patterson (FA),64,232,3.6,13,0,1,21,25,132,6.3,0,0,16,0.0,0.0,0.9%
169,Trey Edmunds (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0%
170,Jason Cabinda (FA),1,0,0.0,0,0,0,2,3,8,4.0,0,0,16,0.0,0.0,1.1%
171,Cethan Carter (FA),0,0,0.0,0,0,0,5,7,53,10.6,0,0,15,0.0,0.0,0.0%
172,Brandin Bryant (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
173,Jeremy Cox (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,7,0.0,0.0,0.0%
174,John Lovett (FA),3,6,2.0,4,0,0,0,0,0,0.0,0,0,8,0.0,0.0,0.0%
175,Andrew Beck (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0,0,10,0.0,0.0,0.0%
176,Xavier Jones (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,13,0.0,0.0,0.0%
177,Darius Bradwell (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
178,Javon Leake (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
179,Michael Warren II (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,1.4%
180,Johnny Stanton IV (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
181,Elijah Holyfield (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
182,Derek Watt (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,12,0.0,0.0,0.0%
183,Wendell Smallwood (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
184,J.P. Holtz (FA),0,0,0.0,0,0,0,0,1,0,0.0,0,0,16,0.0,0.0,0.0%
185,Adrian Killins Jr. (FA),1,-12,-12.0,0,0,0,1,1,2,2.0,0,0,1,-0.5,-0.5,0.0%
