Player Name,Team,"Injury
Risk","Career
Injuries","Injuries
Per Season","Injury Risk
Per Season","Injury Risk
Per Game",Durability,"PPR
Points","Projected
Games
Missed"
Ja'Marr Chase,CIN,High Risk,4,1.0/yr,75.10%,7.90%,5,347,1.8
CeeDee Lamb,DAL,Medium Risk,7,1.4/yr,50.20%,4.00%,5,329,1.3
Puka Nacua,LAR,Medium Risk,8,4.0/yr,68.20%,6.50%,3.5,317,1.8
Justin Jefferson,MIN,High Risk,7,1.4/yr,66.90%,6.30%,5,315,2.3
Malik Nabers,NYG,Low Risk,4,4.0/yr,29.20%,2.00%,5,305,1
Nico Collins,HOU,Very High Risk,7,1.8/yr,82.10%,9.60%,3.1,305,2.1
Brian Thomas Jr.,JAC,Low Risk,2,2.0/yr,30.10%,2.10%,5,298,1.3
A.J. Brown,PHI,High Risk,9,1.5/yr,70.50%,6.90%,5,282,2
Tee Higgins,CIN,Very High Risk,14,2.8/yr,89.20%,12.30%,5,281,2.4
Drake London,ATL,Very High Risk,6,1.5/yr,86.60%,11.20%,5,279,2.4
Amon-Ra St. Brown,DET,Low Risk,6,1.5/yr,39.90%,3.00%,5,276,1.4
Tyreek Hill,MIA,Medium Risk,9,1.0/yr,58.90%,5.10%,5,264,1.8
Mike Evans,TB,Very High Risk,13,1.2/yr,81.50%,9.40%,5,257,2.4
Ladd McConkey,LAC,Medium Risk,3,3.0/yr,55.40%,4.60%,4.3,254,1.2
Rashee Rice,KC,Low Risk,2,1.0/yr,37.30%,2.70%,5,253,1.1
Davante Adams,LAR,Medium Risk,11,1.0/yr,43.60%,3.30%,5,249,0.6
Jaxon Smith-Njigba,SEA,Low Risk,2,1.0/yr,39.90%,3.00%,3,239,1.2
Terry McLaurin,WAS,Medium Risk,7,1.2/yr,42.70%,3.20%,5,238,1
D.J. Moore,CHI,Medium Risk,5,0.7/yr,44.80%,3.40%,5,238,1.1
Jaylen Waddle,MIA,Medium Risk,6,1.5/yr,55.40%,4.60%,4.3,237,2.2
D.K. Metcalf,PIT,Low Risk,8,1.3/yr,31.10%,2.20%,4.9,237,0.8
Garrett Wilson,NYJ,Low Risk,3,0.8/yr,38.10%,2.80%,5,236,0.7
Zay Flowers,BAL,Low Risk,3,1.5/yr,35.60%,2.60%,5,234,1.9
Courtland Sutton,DEN,High Risk,7,1.0/yr,70.40%,6.90%,2.9,232,2.2
Marvin Harrison Jr.,ARI,Medium Risk,4,4.0/yr,42.80%,3.20%,5,232,1.3
Xavier Worthy,KC,Low Risk,3,3.0/yr,36.90%,2.70%,5,231,0.9
DeVonta Smith,PHI,Very High Risk,10,2.5/yr,81.80%,9.50%,5,229,2.4
George Pickens,DAL,Low Risk,3,0.8/yr,34.70%,2.50%,3.7,227,1.6
Calvin Ridley,TEN,Low Risk,3,0.4/yr,29.40%,2.00%,5,223,0.5
Jameson Williams,DET,Medium Risk,4,1.3/yr,43.40%,3.30%,4,222,1.3
Jakobi Meyers,LVR,High Risk,5,0.8/yr,67.30%,6.40%,5,220,1.4
Chris Godwin,TB,High Risk,9,1.1/yr,73.50%,7.50%,5,218,2
Chris Olave,NO,High Risk,7,1.8/yr,68.70%,6.60%,5,217,1.4
Deebo Samuel,WAS,Very High Risk,19,3.2/yr,86.60%,11.20%,1.6,216,3.4
Khalil Shakir,BUF,Low Risk,5,1.3/yr,29.90%,2.10%,5,214,0.4
Jauan Jennings,SF,Very Low Risk,4,0.8/yr,13.50%,0.80%,5,204,0.7
Jayden Reed,GB,Very High Risk,6,3.0/yr,82.80%,9.80%,5,204,2.2
Jerry Jeudy,CLE,Medium Risk,9,1.8/yr,45.20%,3.50%,5,200,1.2
Jordan Addison,MIN,High Risk,5,2.5/yr,69.80%,6.80%,5,198,1.9
Rome Odunze,CHI,High Risk,3,3.0/yr,61.30%,5.40%,5,196,2.4
Josh Downs,IND,Medium Risk,5,2.5/yr,57.60%,4.90%,5,189,1.5
Stefon Diggs,NE,Low Risk,8,0.8/yr,31.50%,2.20%,5,189,0.6
Darnell Mooney,ATL,Very High Risk,9,1.8/yr,85.00%,10.60%,5,183,2.8
Michael Pittman Jr.,IND,High Risk,11,2.2/yr,70.10%,6.90%,5,182,1.6
