"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Lamar Jackson","QB","BAL","25.1","17.4","26","23.6","33.4","19.9","34.4","24.2","23.6","32.9","15.9","22.6","25.4","BYE","36.1","21.5","29.4","","25.7","411.4"
"2","Josh Allen","QB","BUF","31.2","9.8","30.9","7.3","14.6","24.4","21","20.8","23.1","20.2","25","BYE","28.4","51.9","41.3","12.2","23","","24.1","385"
"3","Joe Burrow","QB","CIN","8.1","17.2","25.4","17.3","34.8","19.8","14.9","13.9","30.1","33.7","29","BYE","20.3","25.6","18.8","22","37","","23","367.8"
"4","Jayden Daniels","QB","WAS","28.2","13.4","28.1","25","20.7","21","5.2","22.2","19.9","8.6","14.4","32.4","28.6","BYE","23.6","36.4","32.8","","22.5","360.6"
"5","Baker Mayfield","QB","TB","29.7","19.8","9.5","28.9","23.4","28.9","29","24.3","18","8.9","BYE","18.7","12.2","21","29","23.3","34.6","","22.4","359.2"
"6","Saquon Barkley","RB","PHI","32.2","15.6","31.6","12.6","BYE","6.4","25.7","11.6","31.4","8.3","32.8","44.2","18.7","14.4","8.4","27","17.9","","21.2","338.8"
"7","Jared Goff","QB","DET","12.4","10.8","15.6","26.7","BYE","25.1","18.8","15.5","9.6","12.8","34.6","10.8","16.9","23","41.1","25.3","25.8","","20.3","324.7"
"8","Jalen Hurts","QB","PHI","18.4","24.8","11.9","16.3","BYE","21.9","22.8","35.1","29.9","30.7","18.7","15.1","17.6","24.2","28.1","4.5","-","","21.3","320.1"
"9","Ja'Marr Chase","WR","CIN","9.2","5.5","26.8","16","36.3","9.7","15.1","15.9","7.8","49.9","23","BYE","17.6","38.1","13.9","19.4","14.7","","19.9","318.9"
"10","Sam Darnold","QB","SEA","15.6","20.9","23.2","21.5","5.3","-","17.3","18.2","21","9.4","23.6","21.1","19.6","34.6","12.2","22.9","25.8","","19.5","312.3"
"11","Derrick Henry","RB","BAL","10.6","16.1","29.9","34.4","16.1","25.2","24.7","14.2","25.8","13.6","10.5","14","12.6","BYE","6.7","19.9","23.5","","18.6","297.8"
