Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
20,Marlon Mack (FA),247,1091,4.4,63,9,8,14,17,82,5.9,0,0,14,174.3,12.5,0.0%
21,Devonta Freeman (FA),184,656,3.6,28,3,2,59,70,410,6.9,4,2,14,168.1,12.0,0.0%
22,James White (FA),67,263,3.9,32,1,1,72,95,645,9.0,5,1,15,164.2,10.9,0.1%
23,Melvin Gordon III (FA),162,612,3.8,24,2,8,42,55,296,7.0,1,3,12,159.8,13.3,0.0%
24,Raheem Mostert (LV),137,772,5.6,41,3,8,14,22,180,12.9,2,2,16,158.2,9.9,10.5%
25,David Montgomery (DET),242,889,3.7,55,3,6,25,35,185,7.4,1,2,16,157.9,9.9,93.9%
26,Ronald Jones II (FA),172,724,4.2,49,6,6,31,40,309,10.0,0,2,16,150.8,9.4,0.0%
27,Carlos Hyde (FA),245,1070,4.4,58,8,6,10,16,42,4.2,0,2,16,148.2,9.3,0.0%
28,Sony Michel (FA),247,912,3.7,26,3,7,12,20,94,7.8,0,1,16,146.6,9.2,0.0%
29,Latavius Murray (FA),146,637,4.4,30,3,5,34,43,235,6.9,1,0,16,140.2,8.8,0.0%
30,Adrian Peterson (FA),211,898,4.3,32,6,5,17,23,142,8.4,0,2,16,138.5,8.7,2.0%
31,Devin Singletary (NYG),151,775,5.1,38,7,2,29,41,194,6.7,2,1,12,133.4,11.1,4.7%
32,Duke Johnson Jr. (FA),83,410,4.9,40,3,2,44,62,410,9.3,3,1,16,132.0,8.3,0.0%
33,James Conner (ARI),116,464,4.0,25,2,4,34,38,251,7.4,3,1,10,128.5,12.9,93.4%
34,Jamaal Williams (FA),107,456,4.3,45,1,1,39,45,253,6.5,5,0,14,126.4,9.0,1.1%
35,Damien Williams (FA),111,498,4.5,91,2,5,30,37,213,7.1,2,1,11,126.1,11.5,0.0%
36,Tevin Coleman (FA),137,544,4.0,48,4,6,21,30,180,8.6,1,0,14,124.9,8.9,0.0%
37,Tarik Cohen (FA),64,213,3.3,19,0,0,79,104,456,5.8,3,0,16,124.4,7.8,0.0%
38,David Johnson (FA),94,345,3.7,18,0,2,36,47,370,10.3,4,1,13,123.5,9.5,0.0%
39,Royce Freeman (FA),132,496,3.8,26,1,3,43,50,256,6.0,1,0,16,120.7,7.5,0.0%
40,Peyton Barber (FA),154,470,3.1,17,0,6,16,24,115,7.2,1,1,16,108.5,6.8,1.0%
41,Jordan Howard (FA),119,525,4.4,20,1,6,10,14,69,6.9,1,0,10,106.4,10.6,0.0%
42,LeSean McCoy (FA),101,465,4.6,39,4,4,28,34,181,6.5,1,2,13,104.6,8.0,2.0%
43,DeAndre Washington (FA),108,387,3.6,36,1,3,36,41,292,8.1,0,0,16,103.9,6.5,11.0%
44,Nyheim Miller-Hines (LAC),52,199,3.8,18,0,2,44,58,320,7.3,0,1,16,95.9,6.0,0.0%
45,Matt Breida (FA),123,623,5.1,83,4,1,19,22,120,6.3,1,1,13,93.8,7.2,0.0%
46,Gus Edwards (FA),133,711,5.3,63,5,2,7,7,45,6.4,0,1,16,89.1,5.6,1.3%
47,Frank Gore (FA),166,599,3.6,41,4,2,13,16,100,7.7,0,0,16,88.4,5.5,8.4%
48,Rex Burkhead (FA),65,302,4.6,33,1,3,27,38,279,10.3,0,1,13,87.6,6.7,10.0%
49,Boston Scott (FA),61,245,4.0,25,1,5,24,26,204,8.5,0,1,11,84.9,7.7,0.0%
50,Kareem Hunt (KC),43,179,4.2,16,0,2,37,44,285,7.7,1,0,9,82.9,9.2,25.5%
51,Jaylen Samuels (FA),66,175,2.7,13,0,1,47,57,305,6.5,1,1,14,81.9,5.9,0.0%
52,Tony Pollard (TEN),86,455,5.3,44,4,2,15,20,107,7.1,1,1,15,81.7,5.4,88.9%
53,Kerryon Johnson (FA),113,403,3.6,20,1,3,10,15,127,12.7,1,1,8,80.0,10.0,1.0%
54,Chase Edmonds (FA),60,303,5.1,37,4,4,12,21,105,8.8,1,0,13,76.8,5.9,0.0%
55,Chris Thompson (FA),37,138,3.7,16,0,0,42,58,378,9.0,0,0,11,72.6,6.6,0.0%
56,Rashaad Penny (FA),65,370,5.7,58,4,3,8,11,83,10.4,1,1,10,71.3,7.1,0.0%
57,J.D. McKissic (FA),38,205,5.4,44,2,0,34,42,233,6.9,1,0,16,66.8,4.2,1.0%
58,Jalen Richard (FA),39,145,3.7,13,0,0,36,43,323,9.0,0,0,16,64.8,4.1,1.0%
59,Alexander Mattison (MIA),100,462,4.6,35,4,1,10,12,82,8.2,0,1,13,63.4,4.9,8.4%
60,Brian Hill (FA),78,323,4.1,27,2,2,10,14,69,6.9,1,0,12,62.2,5.2,0.0%
61,Darrel Williams (FA),41,141,3.4,41,1,3,15,20,167,11.1,1,1,12,60.3,5.0,0.0%
62,Malcolm Brown (FA),69,255,3.7,17,0,5,2,6,16,8.0,0,0,14,58.1,4.2,0.0%
63,Dare Ogunbowale (HOU),11,17,1.5,12,0,2,35,46,286,8.2,0,1,16,57.8,3.6,1.5%
64,Patrick Laird (FA),62,168,2.7,18,0,1,23,30,204,8.9,0,0,15,56.7,3.8,0.0%
65,Benny Snell Jr. (FA),108,426,3.9,23,3,2,3,4,23,7.7,0,1,13,56.4,4.3,0.0%
66,Derrius Guice (FA),42,245,5.8,60,3,2,7,9,79,11.3,1,0,5,53.9,10.8,1.1%
67,Dion Lewis (FA),54,210,3.9,17,0,0,25,32,164,6.6,1,1,16,53.9,3.4,2.0%
68,Giovani Bernard (FA),53,170,3.2,25,1,0,30,43,234,7.8,0,1,16,53.4,3.3,0.0%
69,Jordan Wilkins (FA),51,307,6.0,55,2,2,7,11,43,6.1,0,0,14,50.5,3.6,0.0%
70,Mike Boone (FA),49,273,5.6,59,3,3,3,4,17,5.7,0,0,16,48.5,3.0,1.0%
71,Ty Johnson (BUF),63,273,4.3,40,1,0,24,31,109,4.5,0,1,16,48.2,3.0,3.5%
72,Brandon Bolden (FA),15,68,4.5,21,1,3,9,11,111,12.3,1,0,15,46.4,3.1,0.0%
73,Justice Hill (BAL),58,225,3.9,18,0,2,8,15,70,8.8,0,0,16,45.5,2.8,20.8%
74,Jeff Wilson Jr. (FA),27,105,3.9,25,1,4,3,5,34,11.3,1,0,11,45.4,4.1,1.0%
75,Kalen Ballage (FA),74,135,1.8,8,0,3,14,24,63,4.5,0,0,12,44.8,3.7,0.0%
76,Ryquell Armstead (FA),35,108,3.1,16,0,0,14,24,144,10.3,2,0,16,44.2,2.8,0.2%
77,Wayne Gallman Jr. (FA),29,110,3.8,22,1,2,11,16,102,9.3,1,1,10,42.7,4.3,0.0%
78,Bo Scarbrough (FA),89,377,4.2,30,2,1,1,4,5,5.0,0,1,6,42.7,7.1,0.0%
79,Kyle Juszczyk (SF),3,7,2.3,6,0,0,20,24,239,12.0,1,0,12,40.6,3.4,0.9%
80,Jonathan Williams (FA),49,235,4.8,48,1,1,5,5,59,11.8,0,0,9,37.9,4.2,0.0%
81,Mark Walton (FA),53,201,3.8,19,0,0,15,21,89,5.9,0,1,7,34.5,4.9,2.0%
82,Dontrell Hilliard (FA),13,49,3.8,11,0,2,12,15,92,7.7,0,0,14,32.1,2.3,0.0%
83,Ameer Abdullah (SF),23,115,5.0,15,0,0,15,21,88,5.9,1,1,16,31.8,2.0,0.6%
84,Ito Smith (FA),22,106,4.8,28,1,1,11,14,87,7.9,0,0,7,30.8,4.4,1.0%
85,Qadree Ollison (FA),22,50,2.3,6,0,4,1,2,7,7.0,0,0,8,30.2,3.8,0.0%
86,Bilal Powell (FA),59,229,3.9,17,0,0,7,12,33,4.7,0,0,14,29.7,2.1,0.0%
87,C.J. Ham (MIN),7,17,2.4,9,0,0,17,26,149,8.8,1,1,16,29.1,1.8,0.6%
88,Myles Gaskin (FA),36,133,3.7,27,1,1,7,12,51,7.3,0,0,7,27.9,4.0,0.0%
89,Darwin Thompson (FA),37,128,3.5,12,0,1,9,10,43,4.8,0,0,12,27.6,2.3,0.0%
90,Justin Jackson (FA),29,200,6.9,40,3,0,9,11,22,2.4,0,0,7,26.7,3.8,0.0%
91,Reggie Bonnafon (FA),16,116,7.3,59,1,1,6,10,57,9.5,0,0,16,26.3,1.6,0.0%
92,Ty Montgomery II (FA),32,103,3.2,15,0,0,13,17,90,6.9,0,0,16,25.8,1.6,0.0%
93,C.J. Prosise (FA),23,72,3.1,17,0,1,10,12,76,7.6,0,1,9,23.8,2.6,0.0%
94,T.J. Yeldon (FA),17,63,3.7,12,0,0,13,15,124,9.5,0,1,6,23.2,3.9,0.0%
95,Travis Homer (CHI),18,114,6.3,29,1,0,11,13,56,5.1,0,0,16,22.5,1.4,0.6%
96,Darrell Henderson Jr. (FA),39,147,3.8,22,1,0,4,6,37,9.3,0,0,13,20.4,1.6,0.0%
97,Wendell Smallwood (FA),22,81,3.7,17,0,0,9,13,64,7.1,0,0,15,19.0,1.3,0.0%
98,Trey Edmunds (FA),22,92,4.2,45,1,0,6,7,48,8.0,0,0,12,17.0,1.4,0.0%
99,Wes Hills (FA),10,21,2.1,15,0,2,2,2,1,0.5,0,0,1,15.2,15.2,0.0%
100,Alec Ingold (MIA),10,17,1.7,4,0,0,6,6,44,7.3,1,0,16,15.1,0.9,0.6%
101,Patrick Ricard (BAL),0,0,0.0,0,0,0,8,11,47,5.9,1,0,16,14.7,0.9,0.8%
102,Darren Sproles (FA),17,66,3.9,17,0,0,6,10,24,4.0,0,0,6,14.0,2.3,0.1%
103,Kerrith Whyte Jr. (FA),24,122,5.1,21,1,0,1,1,9,9.0,0,0,6,13.6,2.3,0.0%
104,Danny Vitale (FA),1,3,3.0,3,0,0,7,12,97,13.9,0,0,15,13.5,0.9,0.0%
105,Andy Janovich (FA),1,1,1.0,1,0,1,5,5,42,8.4,0,0,8,12.8,1.6,0.0%
106,D'Ernest Johnson (BAL),4,21,5.3,13,0,0,6,7,71,11.8,0,0,16,12.2,0.8,1.0%
107,Kenjon Barner (FA),4,28,7.0,12,0,0,6,8,22,3.7,0,1,14,12.1,0.9,0.0%
108,Derek Watt (FA),7,10,1.4,3,0,1,3,5,32,10.7,0,0,16,11.7,0.7,0.0%
109,Javorius Allen (FA),10,36,3.6,19,0,1,1,2,9,9.0,0,0,11,11.0,1.0,0.6%
110,Spencer Ware (FA),17,51,3.0,6,0,0,5,7,22,4.4,0,0,3,9.8,3.3,0.0%
111,Devontae Booker (FA),2,9,4.5,5,0,0,6,9,57,9.5,0,0,16,9.6,0.6,0.0%
112,Marshawn Lynch (FA),12,34,2.8,15,0,1,0,0,0,0.0,0,0,2,9.4,4.7,0.9%
113,Alex Armah Jr. (FA),6,11,1.8,4,0,1,2,2,6,3.0,0,0,16,8.7,0.5,0.0%
114,Tra Carson (FA),18,48,2.7,12,0,0,4,4,18,4.5,0,0,4,8.6,2.2,0.0%
115,Zach Line (FA),7,20,2.9,5,0,0,6,10,36,6.0,0,0,12,8.6,0.7,0.0%
116,Troymaine Pope (FA),10,20,2.0,8,0,0,2,3,14,7.0,1,1,14,8.4,0.6,0.0%
117,Mike Davis (FA),13,27,2.1,8,0,0,7,8,22,3.1,0,0,12,8.4,0.7,1.0%
118,Khari Blasingame (FA),0,0,0.0,0,0,0,4,5,54,13.5,0,0,6,7.4,1.2,0.0%
119,Patrick DiMarco (FA),3,7,2.3,4,0,0,5,7,41,8.2,0,0,16,7.3,0.5,1.0%
120,Dwayne Washington (FA),8,60,7.5,31,1,0,1,1,6,6.0,0,0,16,7.1,0.4,0.0%
121,Jon Hilliman (FA),30,91,3.0,10,0,0,3,4,1,0.3,0,2,3,6.7,2.2,0.0%
122,Devine Ozigbo (FA),9,27,3.0,9,0,0,3,5,23,7.7,0,0,10,6.5,0.7,1.0%
123,Elijhaa Penny (FA),15,39,2.6,6,0,0,2,4,9,4.5,0,0,16,5.8,0.4,0.0%
124,Taiwan Jones (FA),9,40,4.4,11,0,0,1,1,9,9.0,0,0,11,5.4,0.5,1.0%
125,C.J. Anderson (FA),16,43,2.7,9,0,0,0,0,0,0.0,0,0,2,4.3,2.2,1.0%
126,Paul Perkins (FA),12,29,2.4,13,0,0,1,1,9,9.0,0,0,4,4.3,1.1,0.0%
127,Anthony Sherman (FA),4,9,2.3,5,0,0,2,3,22,11.0,0,0,16,4.1,0.3,1.2%
128,Nick Bawden (FA),0,0,0.0,0,0,0,4,6,17,4.3,0,0,10,3.7,0.4,0.0%
129,T.J. Logan (FA),3,10,3.3,6,0,0,2,3,13,6.5,0,0,12,3.3,0.3,0.0%
130,Tyler Ervin (FA),1,10,10.0,10,0,0,2,4,11,5.5,0,0,10,3.1,0.3,0.0%
131,Jay Ajayi (FA),10,30,3.0,11,0,0,0,1,0,0.0,0,0,4,3.0,0.8,7.0%
132,Zach Zenner (FA),3,-2,-0.7,1,0,0,2,3,19,9.5,0,0,6,2.7,0.5,0.0%
133,Keith Smith (FA),5,8,1.6,3,0,0,1,4,13,13.0,0,0,16,2.6,0.2,0.0%
134,Dalyn Dawkins (FA),11,26,2.4,14,0,0,0,1,0,0.0,0,0,2,2.6,1.3,0.1%
135,Samaje Perine (CIN),5,16,3.2,9,0,0,0,0,0,0.0,0,0,7,1.6,0.2,3.6%
136,Roosevelt Nix (FA),0,0,0.0,0,0,0,2,3,4,2.0,0,0,3,1.4,0.5,0.0%
137,Ricky Ortiz (FA),0,0,0.0,0,0,0,1,1,8,8.0,0,0,2,1.3,0.7,0.0%
138,Damien Harris (FA),4,12,3.0,13,0,0,0,0,0,0.0,0,0,2,1.2,0.6,4.6%
139,Josh Adams (FA),8,12,1.5,10,0,0,0,0,0,0.0,0,0,3,1.2,0.4,0.0%
140,Dexter Williams (FA),5,11,2.2,5,0,0,0,0,0,0.0,0,0,4,1.1,0.3,0.0%
141,Jakob Johnson (HOU),0,0,0.0,0,0,0,1,2,5,5.0,0,0,4,1.0,0.3,0.0%
142,Buddy Howell (FA),5,10,2.0,4,0,0,0,0,0,0.0,0,0,16,1.0,0.1,0.0%
143,John Kelly Jr. (FA),3,9,3.0,6,0,0,0,0,0,0.0,0,0,5,0.9,0.2,0.0%
144,Senorise Perry (FA),3,3,1.0,6,0,0,1,1,1,1.0,0,0,11,0.9,0.1,0.0%
145,Josh Ferguson (FA),3,9,3.0,7,0,0,0,0,0,0.0,0,0,2,0.9,0.5,0.0%
146,Jordan Scarlett (FA),4,9,2.3,6,0,0,0,0,0,0.0,0,0,9,0.9,0.1,0.0%
147,Ryan Nall (FA),2,8,4.0,7,0,0,0,0,0,0.0,0,0,8,0.8,0.1,0.0%
148,Tony Brooks-James (FA),8,7,0.9,8,0,0,0,0,0,0.0,0,0,3,0.7,0.2,0.0%
149,De'Lance Turner (FA),4,6,1.5,5,0,0,0,0,0,0.0,0,0,9,0.6,0.1,0.1%
150,Alfred Morris (FA),1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%
151,James Develin (FA),2,3,1.5,2,0,0,0,0,0,0.0,0,0,2,0.3,0.2,0.0%
152,Lamar Miller (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
153,Robert Turbin (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
154,Stevan Ridley (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
155,DuJuan Harris (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
156,Derrick Coleman (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%
157,Christine Michael (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
158,Jeremy Hill (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
159,Mike Gillislee (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
160,Jamize Olawale (FA),0,0,0.0,0,0,0,0,2,0,0.0,0,0,16,0.0,0.0,0.0%
161,Travaris Cadet (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
162,Cordarrelle Patterson (FA),17,103,6.1,46,1,0,11,17,83,7.5,0,0,16,0.0,0.0,0.9%
163,Jamaal Charles (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%
164,Jonathan Stewart (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
165,Chris Ivory (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
166,LeGarrette Blount (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%
167,Detrez Newsome (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
168,Trenton Cannon (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0%
169,Jordan Chunn (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
170,Jason Cabinda (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,5,0.0,0.0,1.1%
171,Lavon Coleman (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
172,Donnie Ernsberger (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
173,Justin Davis (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
174,Cethan Carter (FA),0,0,0.0,0,0,0,2,3,13,6.5,1,0,15,0.0,0.0,0.0%
175,Craig Reynolds (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0.0,0.0,1.1%
176,Trayveon Williams (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,11,0.0,0.0,0.0%
177,Bryce Love (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
178,Austin Walter (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
179,Andrew Beck (NYJ),1,3,3.0,3,0,0,9,12,90,10.0,1,0,16,0.0,0.0,0.0%
180,Cullen Gillaspia (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,16,0.0,0.0,0.0%
181,Chandler Cox (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,13,0.0,0.0,0.0%
182,Jeremy Langford (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
183,Cameron Artis-Payne (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
184,David Fluellen (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
185,Joe Williams (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
186,J.P. Holtz (FA),0,0,0.0,0,0,0,7,8,91,13.0,0,0,15,0.0,0.0,0.0%
187,Jeremy McNichols (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.7%
188,Tre Madden (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%
189,Brandin Bryant (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0%
190,D.J. Foster (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,6,0.0,0.0,0.0%
191,Michael Burton (DEN),0,0,0.0,0,0,0,0,1,0,0.0,0,0,11,0.0,0.0,0.1%
192,Rod Smith (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,7,0.0,0.0,0.0%
193,Kenneth Dixon (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%
194,Alex Collins (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,19.0%
195,Corey Clement (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,2,4,-4.0,-1.0,0.0%
