Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
258,Nsimba Webster (FA),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
259,Juwann Winfree (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
260,Trenton Irwin (JAC),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
261,Travis Fulgham (FA),0,3,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
262,Davion Davis (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
263,Gary Jennings Jr. (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
264,Lil'Jordan Humphrey (NYG),0,1,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.7%
265,Justin Hardee Sr. (FA),0,1,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
266,JoJo Natson (FA),0,0,0,0.0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%
267,Tony Jones (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
268,Bradley Marquez (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
269,Corey Coleman (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
270,Josh Doctson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
271,Leonte Carroo (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
272,Eli Rogers (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
273,Rashad Greene (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
274,Ty Montgomery II (FA),13,17,90,6.9,21,1,0,32,103,0,0,16,0.0,0.0,0.0%
275,Kaelin Clay (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
276,Taywan Taylor (FA),0,1,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
277,Noah Brown (WAS),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,3.4%
278,Charone Peake (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
279,Chad Williams (FA),0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
280,Jehu Chesson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
281,Keon Hatcher (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
282,Gehrig Dieter (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
283,Josh Malone (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
284,Alonzo Russell (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
285,Keenan Reynolds (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
286,Max McCaffrey (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
287,Jaydon Mickens (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
288,Andy Jones (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
289,Mose Frazier (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
290,Darrius Shepherd (FA),1,2,1,1.0,1,0,0,0,0,0,1,6,-1.4,-0.2,0.0%
291,Michael Walker (FA),2,3,15,7.5,9,0,0,0,0,0,2,7,-1.5,-0.2,0.0%
292,Quincy Enunwa (FA),1,3,-4,-4.0,8,0,0,0,0,0,1,1,-1.9,-1.9,0.0%
293,Ray-Ray McCloud III (ATL),0,0,0,0.0,0,0,0,0,0,0,1,6,-2.0,-0.3,3.6%
294,Greg Dortch (ARI),0,0,0,0.0,0,0,0,0,0,0,1,2,-2.0,-1.0,4.6%
